route,title,description,file
/guides/repurpose-aspect-ratio/,Repurpose a film for another aspect ratio | Kleo,"Repurpose a film for another aspect ratio. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/repurpose-aspect-ratio/index.html
/guides/channel-series-navigation/,Help viewers navigate a video series | Kleo,"Help viewers navigate a video series. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/channel-series-navigation/index.html
/guides/post-publication-learning/,Learn from published videos without guessing causes | Kleo,"Learn from published videos without guessing causes. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/post-publication-learning/index.html
/guides/free-ai-video-generator/,Free AI video generation: what Kleo includes | Kleo,"Free AI video generation: what Kleo includes. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/free-ai-video-generator/index.html
/guides/free-animatic-maker/,Try a free animatic with Kleo starter credits | Kleo,"Try a free animatic with Kleo starter credits. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/free-animatic-maker/index.html
/guides/free-video-planning/,Plan an AI video before spending production credits | Kleo,"Plan an AI video before spending production credits. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/free-video-planning/index.html
/guides/free-vs-paid-video/,Free animatic or paid AI film: choose by deliverable | Kleo,"Free animatic or paid AI film: choose by deliverable. A practical Kleo guide with an example brief, clear steps and an editable review worksheet.",guides/free-vs-paid-video/index.html
/guides/briefs/,Video briefs for AI films | Kleo,"Turn an idea into an approved production brief. Practical briefs, examples and review checklists for the Kleo production workflow.",guides/briefs/index.html
/guides/story/,Story and structure for AI films | Kleo,"Build a story viewers can follow from opening to ending. Practical briefs, examples and review checklists for the Kleo production workflow.",guides/story/index.html
/guides/visual/,Visual direction for AI films | Kleo,"Direct framing, continuity and the look of generated scenes. Practical briefs, examples and review checklists for the Kleo production workflow.",guides/visual/index.html
/guides/narration/,Narration and language for AI films | Kleo,"Prepare clear narration and review the actual audio. Practical briefs, examples and review checklists for the Kleo production workflow.",guides/narration/index.html
/guides/workflows/,Production workflows for AI films | Kleo,"Move from planning to a reviewed, saved video deliverable. Practical briefs, examples and review checklists for the Kleo production workflow.",guides/workflows/index.html
/guides/review/,Quality review for AI films | Kleo,"Check the film, its evidence and the complete release package. Practical briefs, examples and review checklists for the Kleo production workflow.",guides/review/index.html
/guides/publishing/,Publishing and discovery for AI films | Kleo,"Prepare accurate titles, captions, sources and platform uploads. Practical briefs, examples and review checklists for the Kleo production workflow.",guides/publishing/index.html
/guides/free/,Free AI video resources for AI films | Kleo,"Understand the starter offer and plan before buying credits. Practical briefs, examples and review checklists for the Kleo production workflow.",guides/free/index.html
/guides/,"AI filmmaking guides: briefs, stories and publishing | Kleo","Plan and review AI films with 81 practical Kleo guides: original example briefs, editable checklists, narration, visual direction and publishing advice.",guides/index.html
